filename,heading,region
BSAIintro.pdf,BSAI Introduction,BSAI
EBSpollock.pdf,EBS Walleye pollock,BSAI
Multispp.pdf,Multi-species supplement,BSAI
EBSmultispp.pdf,Multi-species supplement,BSAI
AIpollock.pdf,AI Walleye pollock,BSAI
BOGpollock.pdf,Bogoslof Walleye pollock,BSAI
BSAIpcod.pdf,BSAI Pacific cod,BSAI
EBSpcod.pdf,EBS Pacific cod,BSAI
AIpcod.pdf,AI Pacific cod,BSAI
BSAIsablefish.pdf,AK Sablefish,AK
BSAIyfin.pdf,BSAI Yellowfin sole,BSAI
BSAIturbot.pdf,BSAI Greenland turbot,BSAI
BSAIatf.pdf,BSAI Arrowtooth flounder,BSAI
BSAIkamchatka.pdf,BSAI Kamchatka flounder,BSAI
BSAIrocksole.pdf,BSAI Northern rock sole,BSAI
BSAIflathead.pdf,BSAI Flathead sole,BSAI
BSAIplaice.pdf,BSAI Alaska plaice,BSAI
BSAIoflat.pdf,BSAI Other flatfish,BSAI
BSAIpop.pdf,BSAI Pacific ocean perch,BSAI
BSAInork.pdf,BSAI Northern rockfish,BSAI
BSAIrougheye.pdf,BSAI Blackspotted and Rougheye rockfish,BSAI
BSAIshortraker.pdf,BSAI Shortraker rockfish,BSAI
BSAIorock.pdf,BSAI Other rockfish,BSAI
BSAIatka.pdf,BSAI Atka mackerel,BSAI
BSAIskate.pdf,BSAI Skates,BSAI
BSAIsculpin.pdf,BSAI Sculpins,BSAI
BSAIshark.pdf,BSAI Sharks,BSAI
BSAIsquid.pdf,BSAI Squids,BSAI
BSAIocto.pdf,BSAI Octopus,BSAI
BSAIgrenadier.pdf,AK Grenadier,AK
BSAIforage.pdf,BSAI Forage fishes,BSAI
GOAintro.pdf,GOA Introduction,GOA
GOApollock.pdf,GOA Walleye pollock,GOA
GOApcod.pdf,GOA Pacific cod,GOA
GOAsablefish.pdf,AK Sablefish,AK
GOAshallowflat.pdf,GOA Shallow water flatfish,GOA
GOAnsrocksole.pdf,GOA Northern and southern rock sole,GOA
GOAdeepflat.pdf,GOA Deepwater flatfish (Dover),GOA
GOArex.pdf,GOA Rex sole,GOA
GOAatf.pdf,GOA Arrowtooth flounder,GOA
GOAflathead.pdf,GOA Flathead sole,GOA
GOApop.pdf,GOA Pacific ocean perch,GOA
GOAnork.pdf,GOA Northern rockfish,GOA
GOAshortraker.pdf,GOA Shortraker rockfish,GOA
GOAdusky.pdf,GOA Dusky rockfish,GOA
GOArougheye.pdf,GOA Rougheye and Blackspotted rockfish,GOA
GOAdsr.pdf,GOA Demersal shelf rockfish,GOA
GOAthorny.pdf,GOA Thornyhead rockfish,GOA
GOAorock.pdf,GOA Other rockfish (other slope),GOA
GOAatka.pdf,GOA Atka mackerel,GOA
GOAskate.pdf,GOA Skates,GOA
GOAsculpin.pdf,GOA Sculpins,GOA
GOAshark.pdf,GOA Sharks,GOA
GOAsquid.pdf,GOA Squids,GOA
GOAocto.pdf,GOA Octopus,GOA
GOAgrenadier.pdf,AK Grenadier,AK
GOAforage.pdf,GOA Forage fishes,GOA
GOAecosys.pdf,GOA Ecosystem status ,GOA
EBSecosys.pdf,EBS Ecosystem status ,BSAI
AIecosys.pdf,Aleutian Island Ecosystem status ,BSAI
sablefish.pdf,AK Sablefish,AK
grenadier.pdf,AK Grenadier,AK
ecosystem.pdf,Ecosystem Considerations,ECO
economic.pdf,Economic Status,ECON
Sculpins.pdf,Alaska-wide Sculpins,AK
BOGpollock_Sept 2026.pdf,Bogoslof Walleye pollock,BSAI
